age_band_12mo,task_type,group,cohort_n,confidence_flag,corpus_count,corpora,design_types,age_months_n,age_months_mean,age_months_sd,age_months_median,age_months_q1,age_months_q3,age_months_min,age_months_max,total_utterances_n,total_utterances_mean,total_utterances_sd,total_utterances_median,total_utterances_q1,total_utterances_q3,total_utterances_min,total_utterances_max,mlu_n,mlu_mean,mlu_sd,mlu_median,mlu_q1,mlu_q3,mlu_min,mlu_max,mluw_n,mluw_mean,mluw_sd,mluw_median,mluw_q1,mluw_q3,mluw_min,mluw_max,ttr_n,ttr_mean,ttr_sd,ttr_median,ttr_q1,ttr_q3,ttr_min,ttr_max,total_words_n,total_words_mean,total_words_sd,total_words_median,total_words_q1,total_words_q3,total_words_min,total_words_max,unintelligible_count_n,unintelligible_count_mean,unintelligible_count_sd,unintelligible_count_median,unintelligible_count_q1,unintelligible_count_q3,unintelligible_count_min,unintelligible_count_max,unintelligible_ratio_n,unintelligible_ratio_mean,unintelligible_ratio_sd,unintelligible_ratio_median,unintelligible_ratio_q1,unintelligible_ratio_q3,unintelligible_ratio_min,unintelligible_ratio_max,zero_vocalization_count_n,zero_vocalization_count_mean,zero_vocalization_count_sd,zero_vocalization_count_median,zero_vocalization_count_q1,zero_vocalization_count_q3,zero_vocalization_count_min,zero_vocalization_count_max,nonverbal_vocalization_count_n,nonverbal_vocalization_count_mean,nonverbal_vocalization_count_sd,nonverbal_vocalization_count_median,nonverbal_vocalization_count_q1,nonverbal_vocalization_count_q3,nonverbal_vocalization_count_min,nonverbal_vocalization_count_max,question_ratio_n,question_ratio_mean,question_ratio_sd,question_ratio_median,question_ratio_q1,question_ratio_q3,question_ratio_min,question_ratio_max,echolalia_count_n,echolalia_count_mean,echolalia_count_sd,echolalia_count_median,echolalia_count_q1,echolalia_count_q3,echolalia_count_min,echolalia_count_max,echolalia_ratio_n,echolalia_ratio_mean,echolalia_ratio_sd,echolalia_ratio_median,echolalia_ratio_q1,echolalia_ratio_q3,echolalia_ratio_min,echolalia_ratio_max,pronoun_reversal_count_n,pronoun_reversal_count_mean,pronoun_reversal_count_sd,pronoun_reversal_count_median,pronoun_reversal_count_q1,pronoun_reversal_count_q3,pronoun_reversal_count_min,pronoun_reversal_count_max
108-119,narrative,SLI,15,low_n,2,ENNI;Gillam,cross,15,113.45933333333333,2.88061865048531,114.07,111.35,115.965,109.0,117.73,15,96.13333333333334,45.848923755349034,73.0,65.0,119.0,51,207,15,6.7334000000000005,0.9975847117627944,6.77,6.187,7.205,4.45,8.55,15,6.583266666666666,1.0146780957994699,6.62,6.0489999999999995,7.048500000000001,4.31,8.36,15,0.3910133333333334,0.03823722693671083,0.3857,0.3643,0.4086,0.3343,0.4551,15,628.2,307.81098096071884,511.0,431.0,736.5,294,1260,15,0.5333333333333333,1.3557637102737474,0.0,0.0,0.0,0,5,15,0.0041066666666666665,0.01056844809979664,0.0,0.0,0.0,0.0,0.0379,15,0.0,0.0,0.0,0.0,0.0,0,0,15,0.4,0.8280786712108251,0.0,0.0,0.5,0,3,15,0.01798,0.03205751973295145,0.0,0.0,0.0269,0.0,0.1186,15,0.26666666666666666,0.5936168397046635,0.0,0.0,0.0,0,2,15,0.002746666666666667,0.007861194626288103,0.0,0.0,0.0,0.0,0.0303,15,0.06666666666666667,0.25819888974716115,0.0,0.0,0.0,0,1
108-119,narrative,TD,62,ok,2,ENNI;Gillam,cross,62,113.84629032258064,3.5386610572737074,113.785,111.025,117.1425,108.0,119.83,62,85.45161290322581,28.244063597567493,78.0,67.0,94.0,53,192,62,8.047870967741934,0.9229052396851978,8.2005,7.4345,8.64575,6.202,10.41,62,7.845516129032258,0.8940887428345458,8.023499999999999,7.2335,8.386750000000001,5.809,10.18,62,0.39575967741935475,0.04161208627892141,0.39285000000000003,0.3629,0.42217499999999997,0.3086,0.5114,62,675.9677419354839,258.78891757645135,637.0,516.25,775.75,360,1699,62,0.16129032258064516,0.7723404580775896,0.0,0.0,0.0,0,5,62,0.0028048387096774193,0.013469253723766523,0.0,0.0,0.0,0.0,0.0877,62,0.016129032258064516,0.1270001270001905,0.0,0.0,0.0,0,1,62,0.9032258064516129,2.351906637904972,0.0,0.0,1.0,0,16,62,0.005398387096774194,0.01842305657998528,0.0,0.0,0.0,0.0,0.1268,62,0.08064516129032258,0.2745122110081744,0.0,0.0,0.0,0,1,62,0.0008112903225806451,0.0028257077940370733,0.0,0.0,0.0,0.0,0.0135,62,0.016129032258064516,0.12700012700019053,0.0,0.0,0.0,0,1
108-119,toyplay,ASD,4,low_n,1,Flusberg,long,4,113.0025,2.9030257204050587,112.77000000000001,111.22,114.55250000000001,109.87,116.6,4,378.75,106.77195324615917,352.0,324.5,406.25,281,530,4,1.5425,0.1030776406404415,1.5150000000000001,1.495,1.5625,1.45,1.69,4,1.5750000000000002,0.12767145334803703,1.525,1.49,1.61,1.49,1.76,4,0.420725,0.032706612481270526,0.40859999999999996,0.40145,0.427875,0.3971,0.4686,4,569.5,177.45891543302824,512.0,472.0,609.5,427,827,4,23.5,12.793227374930325,20.0,14.5,29.0,13,41,4,0.061549999999999994,0.025684950197862298,0.0608,0.042050000000000004,0.0803,0.0356,0.089,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0.034425,0.01360866758111658,0.0321,0.025224999999999997,0.041299999999999996,0.0214,0.0521,4,12.0,6.928203230275509,10.0,9.0,13.0,6,22,4,0.03055,0.010335214882462128,0.0315,0.024975,0.037075,0.0177,0.0415,4,0.25,0.5,0.0,0.0,0.25,0,1
12-23,toyplay,HL,34,ok,1,Ambrose,long,34,17.820588235294117,3.5591775873141276,18.0,14.0,22.0,13.0,22.7,34,114.38235294117646,45.12945333074913,102.5,82.25,152.0,50,201,34,0.21602941176470591,0.3302148506557252,0.0285,0.0,0.3875,0.0,1.25,34,1.0219411764705884,0.06436681865704193,1.0,1.0,1.018,1.0,1.33,34,0.09208529411764704,0.10957263851216203,0.0339,0.01655,0.1489,0.006,0.4059,34,31.205882352941178,55.38229637915138,2.5,0.0,40.25,0,244,34,15.0,22.636789578565295,3.5,0.0,22.0,0,87,34,0.10579411764705882,0.1441887082982333,0.03505,0.0,0.141025,0.0,0.5305,34,0.11764705882352941,0.40933840799980475,0.0,0.0,0.0,0,2,34,58.470588235294116,48.802157983903925,53.5,4.25,94.0,0,159,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.20588235294117646,0.5918339122415548,0.0,0.0,0.0,0,2,34,0.0014029411764705884,0.004295909632684621,0.0,0.0,0.0,0.0,0.0204,34,0.0,0.0,0.0,0.0,0.0,0,0
12-23,toyplay,NH,51,ok,1,Ambrose,long,51,17.58823529411765,3.667023155575843,18.0,13.0,22.0,13.0,22.0,51,167.88235294117646,66.58007121018227,153.0,126.5,200.0,54,408,51,0.49054901960784314,0.5673091683985194,0.19,0.0615,0.79,0.0,2.13,51,1.1233529411764704,0.24029596946510873,1.01,1.0,1.115,1.0,2.08,51,0.14144509803921568,0.11799783949501023,0.0876,0.03745,0.2669,0.0043,0.3853,51,96.15686274509804,132.161926824486,29.0,7.0,139.0,0,519,51,24.07843137254902,19.995842705177395,19.0,8.0,38.5,1,80,51,0.1391509803921569,0.09853542788773796,0.1121,0.05405,0.20584999999999998,0.0059,0.3831,51,0.11764705882352941,0.5881176352917641,0.0,0.0,0.0,0,4,51,70.29411764705883,63.56266014497728,61.0,6.0,110.0,0,260,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,2.823529411764706,5.391496572763229,0.0,0.0,2.5,0,20,51,0.012854901960784313,0.022978993134821987,0.0,0.0,0.0133,0.0,0.0726,51,0.0,0.0,0.0,0.0,0.0,0,0
12-23,toyplay,TD,3,low_n,1,Nadig,cross,3,21.689999999999998,1.6985876486069242,20.97,20.72,22.299999999999997,20.47,23.63,3,91.0,49.72926703662542,74.0,63.0,110.5,52,147,3,0.467,0.24251391712641976,0.37,0.32899999999999996,0.5565,0.288,0.743,3,1.053,0.08328865468957942,1.01,1.005,1.0795,1.0,1.149,3,0.22729999999999997,0.05456436566111623,0.2471,0.20634999999999998,0.25815,0.1656,0.2692,3,41.0,22.869193252058544,50.0,32.5,54.0,15,58,3,7.666666666666667,9.865765724632494,3.0,2.0,11.0,1,19,3,0.10709999999999997,0.13211839387458507,0.0577,0.03225,0.15725,0.0068,0.2568,3,1.0,1.0,1.0,0.5,1.5,0,2,3,19.0,8.54400374531753,20.0,15.0,23.5,10,27,3,0.08660000000000001,0.018649128665972573,0.0769,0.07585,0.0925,0.0748,0.1081,3,1.0,1.7320508075688772,0.0,0.0,1.5,0,3,3,0.0135,0.023382685902179845,0.0,0.0,0.02025,0.0,0.0405,3,0.0,0.0,0.0,0.0,0.0,0,0
120-131,narrative,SLI,4,low_n,1,Gillam,cross,4,122.5,3.1091263510296048,121.5,120.75,123.25,120.0,127.0,4,72.25,13.720422734012244,71.5,62.5,81.25,58,88,4,8.176,1.3534494203084704,8.598,7.665500000000001,9.108500000000001,6.281,9.227,4,7.909500000000001,1.258550886270926,8.367,7.5085,8.768,6.109,8.795,4,0.44999999999999996,0.0350377891235544,0.4457,0.427125,0.468575,0.4143,0.4943,4,572.5,162.32580406905942,566.0,474.25,664.25,391,767,4,0.5,1.0,0.0,0.0,0.5,0,2,4,0.008625,0.01725,0.0,0.0,0.008625,0.0,0.0345,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0.024875,0.013323006417471996,0.025050000000000003,0.01455,0.035375000000000004,0.0114,0.038,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0
120-131,narrative,TD,17,low_n,1,Gillam,cross,17,126.05882352941177,3.418160840190491,126.0,123.0,129.0,120.0,131.0,17,72.88235294117646,34.294464482152904,62.0,56.0,72.0,51,186,17,9.305882352941177,1.228102646481196,9.418,8.242,9.607,7.765,11.938,17,9.077294117647059,1.2412251893142658,9.09,8.016,9.459,7.569,11.797,17,0.45428823529411766,0.034509923977620933,0.4571,0.44,0.4629,0.3571,0.5171,17,648.5882352941177,257.57888568929945,587.0,497.0,691.0,386,1354,17,0.11764705882352941,0.3321055820775357,0.0,0.0,0.0,0,1,17,0.0011823529411764705,0.0037205905603340792,0.0,0.0,0.0,0.0,0.0147,17,0.0,0.0,0.0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,0.0,0,0,17,0.029270588235294114,0.03461487694449242,0.0169,0.0,0.0417,0.0,0.1139,17,0.058823529411764705,0.242535625036333,0.0,0.0,0.0,0,1,17,0.00031764705882352944,0.0013096923751961982,0.0,0.0,0.0,0.0,0.0054,17,0.058823529411764705,0.242535625036333,0.0,0.0,0.0,0,1
132-143,narrative,TD,17,low_n,1,Gillam,cross,17,137.35294117647058,2.343639703287075,138.0,137.0,139.0,132.0,142.0,17,60.705882352941174,8.730440323104792,59.0,53.0,68.0,50,77,17,8.678294117647058,1.3918696402997788,8.729,7.557,9.882,5.946,11.232,17,8.43258823529412,1.4104903428782987,8.549,7.229,9.51,5.432,11.054,17,0.4621882352941177,0.030425048939010383,0.4686,0.4514,0.4771,0.4029,0.5143,17,505.2352941176471,87.18194294961881,506.0,458.0,535.0,371,738,17,0.35294117647058826,0.701888209634219,0.0,0.0,0.0,0,2,17,0.005758823529411765,0.011461787536392907,0.0,0.0,0.0,0.0,0.0357,17,0.0,0.0,0.0,0.0,0.0,0,0,17,0.35294117647058826,0.6063390625908325,0.0,0.0,1.0,0,2,17,0.029958823529411763,0.033062177386394435,0.0192,0.0,0.039,0.0,0.125,17,0.058823529411764705,0.242535625036333,0.0,0.0,0.0,0,1,17,0.0007941176470588235,0.003274230937990495,0.0,0.0,0.0,0.0,0.0135,17,0.058823529411764705,0.242535625036333,0.0,0.0,0.0,0,1
24-35,toyplay,ASD,10,low_n,1,Rollins,long,10,32.0,2.9814239699997196,32.0,30.5,34.75,26.0,35.0,10,191.7,94.65029201105392,177.0,144.75,218.75,61,411,10,0.163,0.28550345395848054,0.045,0.0,0.19,0.0,0.91,10,1.0586,0.125705299101598,1.0,1.0,1.052,1.0,1.4,10,0.05886,0.0648893280046025,0.0272,0.0134,0.09290000000000001,0.0049,0.1705,10,42.0,95.0789145920377,10.0,1.75,26.0,0,310,10,56.0,19.40217628114033,58.5,47.5,72.0,25,79,10,0.31806999999999996,0.09659550311594335,0.3074,0.269575,0.394025,0.18,0.4483,10,94.6,38.16979608713326,101.0,86.0,119.5,23,141,10,3.2,6.0882400303098,0.5,0.0,2.5,0,19,10,0.00086,0.002719558787744806,0.0,0.0,0.0,0.0,0.0086,10,2.8,8.508818954473059,0.0,0.0,0.0,0,27,10,0.006959999999999999,0.020675492738989314,0.0,0.0,0.0,0.0,0.0657,10,0.0,0.0,0.0,0.0,0.0,0,0
