language,age_band_12mo,task_type,group,feature_row_count,cohort_ready_row_count,cohort_n,confidence_flag,clan_row_count,clan_coverage_status,corpus_count,corpora,design_types,coverage_status,phase2_recommendation
eng,108-119,narrative,SLI,10,10,10,low_n,10,matched,1,ENNI,cross,low_n,Prioritize Gillam to strengthen narrative SLI and TD school-age cells.
eng,108-119,narrative,TD,50,50,50,ok,50,matched,1,ENNI,cross,ok,
eng,108-119,toyplay,ASD,4,4,4,low_n,4,matched,1,Flusberg,long,low_n,Prioritize Rollins only as a small ASD add-on; keep low-confidence cells separated.
eng,12-23,toyplay,HL,34,34,34,ok,34,matched,1,Ambrose,long,ok,
eng,12-23,toyplay,NH,51,51,51,ok,51,matched,1,Ambrose,long,ok,
eng,12-23,toyplay,TD,3,3,3,low_n,3,matched,1,Nadig,cross,low_n,Add matched Phase 2 data or keep this cell low-confidence.
eng,24-35,toyplay,ASD,10,10,10,low_n,10,matched,1,Rollins,long,low_n,Prioritize Rollins only as a small ASD add-on; keep low-confidence cells separated.
eng,24-35,toyplay,HL,19,19,19,low_n,19,matched,1,Ambrose,long,low_n,Prioritize Nicholas to strengthen hearing-related toyplay cells.
eng,24-35,toyplay,LT,95,95,95,ok,95,matched,1,EllisWeismer,long,ok,
eng,24-35,toyplay,NH,16,16,16,low_n,16,matched,1,Ambrose,long,low_n,Prioritize Nicholas to strengthen hearing-related toyplay cells.
eng,24-35,toyplay,TD,143,143,143,ok,143,matched,3,Eigsti;EllisWeismer;Nadig,cross;long,ok,
eng,36-47,toyplay,ASD,33,33,33,ok,33,matched,5,Eigsti;Flusberg;NYU-Emerson;Nadig;Rollins,cross;long,ok,
eng,36-47,toyplay,DD,3,3,3,low_n,3,matched,1,Eigsti,cross,low_n,No Phase 2 corpus directly fills DD toyplay; keep this cell low-confidence.
eng,36-47,toyplay,HL,16,16,16,low_n,16,matched,1,Ambrose,long,low_n,Prioritize Nicholas to strengthen hearing-related toyplay cells.
eng,36-47,toyplay,LT,76,76,76,ok,76,matched,1,EllisWeismer,long,ok,
eng,36-47,toyplay,NH,18,18,18,low_n,18,matched,1,Ambrose,long,low_n,Prioritize Nicholas to strengthen hearing-related toyplay cells.
eng,36-47,toyplay,TD,84,84,84,ok,84,matched,3,Eigsti;EllisWeismer;Nadig,cross;long,ok,
eng,48-59,narrative,SLI,11,11,11,low_n,11,matched,1,ENNI,cross,low_n,Prioritize Gillam to strengthen narrative SLI and TD school-age cells.
eng,48-59,narrative,TD,45,45,45,ok,45,matched,1,ENNI,cross,ok,
eng,48-59,toyplay,ASD,27,27,27,ok,27,matched,4,Eigsti;Flusberg;NYU-Emerson;Nadig,cross;long,ok,
eng,48-59,toyplay,DD,7,7,7,low_n,7,matched,1,Eigsti,cross,low_n,No Phase 2 corpus directly fills DD toyplay; keep this cell low-confidence.
eng,48-59,toyplay,LT,58,58,58,ok,58,matched,1,EllisWeismer,long,ok,
eng,48-59,toyplay,TD,60,60,60,ok,60,matched,3,Eigsti;EllisWeismer;Nadig,cross;long,ok,
eng,60-71,narrative,SLI,13,13,13,low_n,13,matched,1,ENNI,cross,low_n,Prioritize Gillam to strengthen narrative SLI and TD school-age cells.
eng,60-71,narrative,TD,46,46,46,ok,46,matched,1,ENNI,cross,ok,
eng,60-71,toyplay,ASD,21,21,21,ok,21,matched,4,Eigsti;Flusberg;NYU-Emerson;Nadig,cross;long,ok,
eng,60-71,toyplay,DD,5,5,5,low_n,5,matched,1,Eigsti,cross,low_n,No Phase 2 corpus directly fills DD toyplay; keep this cell low-confidence.
eng,60-71,toyplay,LT,37,37,37,ok,37,matched,1,EllisWeismer,long,ok,
eng,60-71,toyplay,TD,37,37,37,ok,37,matched,1,EllisWeismer,long,ok,
eng,72-83,narrative,SLI,11,11,11,low_n,11,matched,1,ENNI,cross,low_n,Prioritize Gillam to strengthen narrative SLI and TD school-age cells.
eng,72-83,narrative,TD,49,49,49,ok,49,matched,1,ENNI,cross,ok,
eng,72-83,toyplay,ASD,16,16,16,low_n,16,matched,3,Eigsti;Flusberg;Nadig,cross;long,low_n,Prioritize Rollins only as a small ASD add-on; keep low-confidence cells separated.
eng,72-83,toyplay,DD,1,1,1,low_n,1,matched,1,Eigsti,cross,low_n,No Phase 2 corpus directly fills DD toyplay; keep this cell low-confidence.
eng,84-95,narrative,SLI,13,13,13,low_n,13,matched,1,ENNI,cross,low_n,Prioritize Gillam to strengthen narrative SLI and TD school-age cells.
eng,84-95,narrative,TD,50,50,50,ok,50,matched,1,ENNI,cross,ok,
eng,84-95,toyplay,ASD,14,14,14,low_n,14,matched,1,Flusberg,long,low_n,Prioritize Rollins only as a small ASD add-on; keep low-confidence cells separated.
eng,96-107,narrative,SLI,17,17,17,low_n,17,matched,1,ENNI,cross,low_n,Prioritize Gillam to strengthen narrative SLI and TD school-age cells.
eng,96-107,narrative,TD,45,45,45,ok,45,matched,1,ENNI,cross,ok,
eng,96-107,toyplay,ASD,11,11,11,low_n,11,matched,1,Flusberg,long,low_n,Prioritize Rollins only as a small ASD add-on; keep low-confidence cells separated.
eng,UNASSIGNED,narrative,TD,1,0,0,,1,matched,1,ENNI,cross,not_cohort_ready,Resolve missing age metadata before using this row in Reference Cohort summaries.
