language,age_band_12mo,task_type,group,triage_bucket,target_corpus,coverage_feature_rows,coverage_clan_rows,coverage_cohort_n,source_transcript_rows,analysis_ready_source_rows,short_sample_source_rows,feature_matched_source_rows,clan_matched_source_rows,missing_feature_rows,missing_clan_rows,audit_status,audit_action
eng,108-119,narrative,SLI,candidate_gillam,Gillam,15,15,15,24,5,19,5,5,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,108-119,toyplay,ASD,candidate_rollins_or_asd_addon,Rollins,4,4,4,0,0,0,0,0,0,0,no_local_target_source_keep_low_confidence,No local Rollins source rows match this cell; keep it low-confidence unless a new matched source is selected.
eng,120-131,narrative,SLI,candidate_gillam,Gillam,4,4,4,21,4,17,4,4,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,120-131,narrative,TD,candidate_gillam,Gillam,17,17,17,51,17,34,17,17,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,132-143,narrative,TD,candidate_gillam,Gillam,17,17,17,52,17,35,17,17,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,24-35,toyplay,ASD,candidate_rollins_or_asd_addon,Rollins,10,10,10,10,10,0,10,10,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Rollins rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,48-59,narrative,SLI,candidate_gillam,Gillam,11,11,11,0,0,0,0,0,0,0,no_local_target_source_keep_low_confidence,No local Gillam source rows match this cell; keep it low-confidence unless a new matched source is selected.
eng,60-71,narrative,SLI,candidate_gillam,Gillam,13,13,13,9,0,9,0,0,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,72-83,narrative,SLI,candidate_gillam,Gillam,13,13,13,33,2,31,2,2,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,72-83,toyplay,ASD,candidate_rollins_or_asd_addon,Rollins,16,16,16,0,0,0,0,0,0,0,no_local_target_source_keep_low_confidence,No local Rollins source rows match this cell; keep it low-confidence unless a new matched source is selected.
eng,84-95,narrative,SLI,candidate_gillam,Gillam,19,19,19,50,6,44,6,6,0,0,policy_exhausted_keep_low_confidence,No additional analysis-ready Gillam rows remain under the current Reference Cohort policy; keep this cell low-confidence.
eng,84-95,toyplay,ASD,candidate_rollins_or_asd_addon,Rollins,14,14,14,0,0,0,0,0,0,0,no_local_target_source_keep_low_confidence,No local Rollins source rows match this cell; keep it low-confidence unless a new matched source is selected.
eng,96-107,toyplay,ASD,candidate_rollins_or_asd_addon,Rollins,11,11,11,0,0,0,0,0,0,0,no_local_target_source_keep_low_confidence,No local Rollins source rows match this cell; keep it low-confidence unless a new matched source is selected.
