Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Multi-modular AI Approach to Streamline Autism Diagnosis in Young Children","Our multi-modular AI-based assessment of autism in young children outperforms baseline screeners in accuracy and speed, reducing wait times for diagnosis.","H. Abbas, F. Garberson, Stuart Liu-Mayo, Eric Glover, D. Wall",2020,94,"Autism has become a pressing healthcare challenge. The instruments used to aid diagnosis are time and labor expensive and require trained clinicians to administer, leading to long wait times for at-risk children. We present a multi-modular, machine learning-based assessment of autism comprising three complementary modules for a unified outcome of diagnostic-grade reliability: A 4-minute, parent-report questionnaire delivered via a mobile app, a list of key behaviors identified from 2-minute, semi-structured home videos of children, and a 2-minute questionnaire presented to the clinician at the time of clinical assessment. We demonstrate the assessment reliability in a blinded, multi-site clinical study on children 18-72 months of age (n = 375) in the United States. It outperforms baseline screeners administered to children by 0.35 (90% CI: 0.26 to 0.43) in AUC and 0.69 (90% CI: 0.58 to 0.81) in specificity when operating at 90% sensitivity. Compared to the baseline screeners evaluated on children less than 48 months of age, our assessment outperforms the most accurate by 0.18 (90% CI: 0.08 to 0.29 at 90%) in AUC and 0.30 (90% CI: 0.11 to 0.50) in specificity when operating at 90% sensitivity.","non-rct observational study","Scientific Reports","1","10.1038/s41598-020-61213-w","https://consensus.app/papers/multimodular-ai-approach-to-streamline-autism-diagnosis-abbas-garberson/cf565ae5cf335d61b3817fe177285d1e/"
"Evaluation of an artificial intelligence-based medical device for diagnosis of autism spectrum disorder","The artificial intelligence-based medical device accurately diagnoses autism spectrum disorder in nearly a third of primary care patients, potentially facilitating earlier intervention and efficient use of specialist resources.","Jonathan T. Megerian, Sangeeta Dey, R. Melmed, D. Coury, M. Lerner, C. Nicholls, K. Sohl, Rambod Rouhbakhsh, Anandhi Narasimhan, Jonathan E. Romain, Sailaja Golla, Safiullah Shareef, Andrey Ostrovsky, Jennifer Shannon, Colleen Kraft, Stuart Liu-Mayo, H. Abbas, Diana E. Gal-Szabo, D. Wall, S. Taraman",2022,75,"Autism spectrum disorder (ASD) can be reliably diagnosed at 18 months, yet significant diagnostic delays persist in the United States. This double-blinded, multi-site, prospective, active comparator cohort study tested the accuracy of an artificial intelligence-based Software as a Medical Device designed to aid primary care healthcare providers (HCPs) in diagnosing ASD. The Device combines behavioral features from three distinct inputs (a caregiver questionnaire, analysis of two short home videos, and an HCP questionnaire) in a gradient boosted decision tree machine learning algorithm to produce either an ASD positive, ASD negative, or indeterminate output. This study compared Device outputs to diagnostic agreement by two or more independent specialists in a cohort of 18-72-month-olds with developmental delay concerns (425 study completers, 36% female, 29% ASD prevalence). Device output PPV for all study completers was 80.8% (95% confidence intervals (CI), 70.3%-88.8%) and NPV was 98.3% (90.6%-100%). For the 31.8% of participants who received a determinate output (ASD positive or negative) Device sensitivity was 98.4% (91.6%-100%) and specificity was 78.9% (67.6%-87.7%). The Device's indeterminate output acts as a risk control measure when inputs are insufficiently granular to make a determinate recommendation with confidence. If this risk control measure were removed, the sensitivity for all study completers would fall to 51.6% (63/122) (95% CI 42.4%, 60.8%), and specificity would fall to 18.5% (56/303) (95% CI 14.3%, 23.3%). Among participants for whom the Device abstained from providing a result, specialists identified that 91% had one or more complex neurodevelopmental disorders. No significant differences in Device performance were found across participants' sex, race/ethnicity, income, or education level. For nearly a third of this primary care sample, the Device enabled timely diagnostic evaluation with a high degree of accuracy. The Device shows promise to significantly increase the number of children able to be diagnosed with ASD in a primary care setting, potentially facilitating earlier intervention and more efficient use of specialist resources.","non-rct observational study","NPJ Digital Medicine","1","10.1038/s41746-022-00598-6","https://consensus.app/papers/evaluation-of-an-artificial-intelligencebased-medical-megerian-dey/015c26441402592897b93bc64e2a6af4/"
"AI-assisted early screening, diagnosis, and intervention for autism in young children","AI-assisted methods improve early screening, diagnosis, and intervention of autism in young children, reducing the age barrier for diagnosis and enhancing personalized interventions.","Sijun Zhang",2025,8,"Autism is a serious threat to an individual's physical and mental health. Early screening, diagnosis, and intervention can effectively reduce the level of deficits in individuals with autism. However, traditional methods of screening, diagnosis, and intervention rely on the professionalism of psychiatrists and require a great deal of time and effort, resulting in a large proportion of individuals with autism being diagnosed after the age of 6. Artificial intelligence (AI) combined with machine learning is being used to improve the efficiency of early screening, diagnosis, and intervention of autism in young children. This review aims to summarize AI-assisted methods for early screening, diagnosis, and intervention of autism in young children (infants, toddlers, and preschoolers). To achieve early screening and diagnosis of autism in young children, AI methods have built predictive models to improve the automation of early behavioral diagnosis, analyzed brain imaging and genetic data to break the age barrier for diagnosis, and established intelligent screening systems for early mass screening. For early intervention of autism in young children, AI methods built intelligent education systems to optimize the teaching and learning environment and provide individualized interventions, constructed intelligent monitoring systems for dynamic tracking, and created intelligent support systems to provide continuous support and meet the diverse needs of young children with autism. As AI continues to develop, further research is needed to build a large and shared database on autism, to generalize and migrate the effects of AI interventions, and to improve the appearance and performance of AI-powered robots, to reduce failure rates and costs of AI technologies.","literature review","Frontiers in Psychiatry","1","10.3389/fpsyt.2025.1513809","https://consensus.app/papers/aiassisted-early-screening-diagnosis-and-intervention-zhang/8e3b78f893085b27a06d4c794af27c67/"
"Autism Detection in Children: Integrating Machine Learning and Natural Language Processing in Narrative Analysis","Machine learning models can accurately distinguish children with ASD from typically-developing peers, achieving 96% accuracy in analyzing narrative and vocabulary skills.","C. Themistocleous, Maria Andreou, Eleni Peristeri",2024,31,"Despite the consensus that early identification leads to better outcomes for individuals with autism spectrum disorder (ASD), recent research reveals that the average age of diagnosis in the Greek population is approximately six years. However, this age of diagnosis is delayed by an additional two years for families from lower-income or minority backgrounds. These disparities result in adverse impacts on intervention outcomes, which are further burdened by the often time-consuming and labor-intensive language assessments for children with ASD. There is a crucial need for tools that increase access to early assessment and diagnosis that will be rigorous and objective. The current study leverages the capabilities of artificial intelligence to develop a reliable and practical model for distinguishing children with ASD from typically-developing peers based on their narrative and vocabulary skills. We applied natural language processing-based extraction techniques to automatically acquire language features (narrative and vocabulary skills) from storytelling in 68 children with ASD and 52 typically-developing children, and then trained machine learning models on the children's combined narrative and expressive vocabulary data to generate behavioral targets that effectively differentiate ASD from typically-developing children. According to the findings, the model could distinguish ASD from typically-developing children, achieving an accuracy of 96%. Specifically, out of the models used, hist gradient boosting and XGBoost showed slightly superior performance compared to the decision trees and gradient boosting models, particularly regarding accuracy and F1 score. These results bode well for the deployment of machine learning technology for children with ASD, especially those with limited access to early identification services.","","Behavioral Sciences","2","10.3390/bs14060459","https://consensus.app/papers/autism-detection-in-children-integrating-machine-themistocleous-andreou/359493e46c3b51e99deead962598f09d/"
"Reliably quantifying the severity of social symptoms in children with autism using ASDSpeech","ASDSpeech is a reliable AI algorithm that can accurately quantify social communication difficulties in ASD children across multiple developmental timepoints.","M. Eni, Y. Zigel, M. Ilan, A. Michaelovski, H. Golan, G. Meiri, I. Menashe, I. Dinstein",2025,3,"Several studies have demonstrated that the severity of social communication problems, a core symptom of Autism Spectrum Disorder (ASD), is correlated with specific speech characteristics of ASD individuals. This suggests that it may be possible to develop speech analysis algorithms that can quantify ASD symptom severity from speech recordings in a direct and objective manner. Here we demonstrate the utility of a new open-source AI algorithm, ASDSpeech, which can analyze speech recordings of ASD children and reliably quantify their social communication difficulties across multiple developmental timepoints. The algorithm was trained and tested on the largest ASD speech dataset available to date, which contained 99,193 vocalizations from 197 ASD children recorded in 258 Autism Diagnostic Observation Schedule, Second edition (ADOS-2) assessments. ASDSpeech was trained with acoustic and conversational features extracted from the speech recordings of 136 children, who participated in a single ADOS-2 assessment, and tested with independent recordings of 61 additional children who completed two ADOS-2 assessments, separated by 1-2 years. Estimated total ADOS-2 scores in the test set were significantly correlated with actual scores when examining either the first (r(59) = 0.544, P < 0.0001) or second (r(59) = 0.605, P < 0.0001) assessment. Separate estimation of social communication and restricted and repetitive behavior symptoms revealed that ASDSpeech was particularly accurate at estimating social communication symptoms (i.e., ADOS-2 social affect scores). These results demonstrate the potential utility of ASDSpeech for enhancing basic and clinical ASD research as well as clinical management. We openly share both algorithm and speech feature dataset for use and further development by the community.","","Translational Psychiatry","1","10.1038/s41398-025-03233-6","https://consensus.app/papers/reliably-quantifying-the-severity-of-social-symptoms-in-eni-zigel/990a576d1c3c53f8b136904cb9fd47c3/"
"Artificial intelligence for tracking social behaviours and supporting an autism spectrum disorder diagnosis: systematic review and meta-analysis","AI algorithms can accurately augment ASD assessments, track social behaviors, and enhance therapy outcomes, but further validation is needed in diverse populations.","Carter Sun, Alistair McEwan, K. A. Boulton, E. Demetriou, Ayesha K Sadozai, Amit Lampit, A. Guastella",2025,1,"","meta-analysis","eBioMedicine","1","10.1016/j.ebiom.2025.105931","https://consensus.app/papers/artificial-intelligence-for-tracking-social-behaviours-sun-mcewan/ee7f3b5c1a7d525f921d7ee11fe732bc/"
"Using Machine Learning for Motion Analysis to Early Detect Autism Spectrum Disorder: A Systematic Review","Machine learning for motion analysis accurately predicts autism spectrum disorder classification as accurately as classical gold standard tools, but its application is still challenging.","Roberta Simeoli, Angelo Rega, Mariangela Cerasuolo, Raffaele Nappo, Davide Marocco",2024,38,"Diagnosis of autism spectrum disorder (ASD) is typically performed using traditional tools based on behavioral observations. However, these diagnosis methods are time-consuming and can be misleading. Integrating machine learning algorithms with technological screening tools within the typical behavioral observations can possibly enhance the traditional assessment and diagnostic process. In the last two decades, to improve the accuracy and reliability of autism detection, many clinicians and researchers began to develop new screening methods by means of advanced technology like machine learning (ML). These methods include artificial neural networks (ANN), support vector machines (SVM), a priori algorithms, and decision trees (DT). Mostly, these methods have been applied to pre-existing datasets, derived from the standard diagnostic and assessment tools, to implement and test predictive models. On the other hand, the detection of new objective behavioral measures such as biomarkers could lead to a significant strengthening of existing screening tools. In the present study, we carried out a critical review of the literature about the latest findings in this field. The aim was to shed light about the effectiveness of using ML systems for motion analysis to enhance both clinical assessment and diagnostic processes. Specifically, we discussed the contribution of ML systems in promoting early diagnosis of ASD. The literature review showed that motion patterns ML analysis predicts ASD classification as accurately as that of classical gold standard tools. However, the application of these methods is still challenging, as discussed in this review.","literature review","Review Journal of Autism and Developmental Disorders","1","10.1007/s40489-024-00435-4","https://consensus.app/papers/using-machine-learning-for-motion-analysis-to-early-detect-simeoli-rega/0a04a747cb1f5ab49080f0232fad19e8/"
"A Scoping Review of AI-Based Approaches for Detecting Autism Traits Using Voice and Behavioral Data","AI shows promising diagnostic performance in ASD diagnosis, with accuracies up to 99%, but challenges in dataset heterogeneity, gender bias, and small sample sizes hinder clinical implementation and generalizability.","Hajarimino Rakotomanana, Ghazal Rouhafzay",2025,2,"This scoping review systematically maps the rapidly evolving application of Artificial Intelligence (AI) in Autism Spectrum Disorder (ASD) diagnostics, specifically focusing on computational behavioral phenotyping. Recognizing that observable traits like speech and movement are critical for early, timely intervention, the study synthesizes AI's use across eight key behavioral modalities. These include voice biomarkers, conversational dynamics, linguistic analysis, movement analysis, activity recognition, facial gestures, visual attention, and multimodal approaches. The review analyzed 158 studies published between 2015 and 2025, revealing that modern Machine Learning and Deep Learning techniques demonstrate highly promising diagnostic performance in controlled environments, with reported accuracies of up to 99%. Despite this significant capability, the review identifies critical challenges that impede clinical implementation and generalizability. These persistent limitations include pervasive issues with dataset heterogeneity, gender bias in samples, and small overall sample sizes. By detailing the current landscape of observable data types, computational methodologies, and available datasets, this work establishes a comprehensive overview of AI's current strengths and fundamental weaknesses in ASD diagnosis. The article concludes by providing actionable recommendations aimed at guiding future research toward developing diagnostic solutions that are more inclusive, generalizable, and ultimately applicable in clinical settings.","literature review","Bioengineering","3","10.3390/bioengineering12111136","https://consensus.app/papers/a-scoping-review-of-aibased-approaches-for-detecting-rakotomanana-rouhafzay/f35928b3ab5d558188049463a1b4108e/"
"Artificial Intelligence in Autism Spectrum Disorder Diagnosis: A Scoping Review of Face, Voice, and Text Analysis Methods","Artificial intelligence can enhance autism spectrum disorder diagnosis by identifying autism-related facial features, atypical speech patterns, and linguistic markers through facial, vocal, and text analysis methods.","Fatemeh Mohammadi, Hassan Shahrokhi, Afsoon Asadzadeh, Saeed Pirmoradi, Ali Moghtader, Peyman Rezaei-Hachesu",2025,0,"Autism is a complex neurodevelopmental condition affecting social interaction and behavior. Traditional diagnostic methods, relying on observational techniques and interviews conducted by trained professionals, remain the gold standard for ASD diagnosis. However, these methods can be time-consuming and may be influenced by subjective factors. Recent advancements in artificial intelligence (AI) offer promising approaches to augment existing methods, potentially enhancing efficiency and providing additional objective data through facial, vocal, and textual analysis. The objective of this study was to conduct a comprehensive review of artificial intelligence applications in autism spectrum disorder (ASD) diagnosis, specifically focusing on facial, vocal, and textual analysis methods. A comprehensive search was conducted in PubMed, Web of Science, Scopus, and Google Scholar. The findings were reported in accordance with the PRISMA checklist. Data were collated and summarized, and results were reported qualitatively, adopting a narrative synthesis approach. In facial image analysis, deep learning algorithms demonstrated high accuracy in identifying autism-related facial features, algorithms such as Xception achieved 98% accuracy, while hybrid approaches like the combination of Random Forest (RF) and VGG16-MobileNet showed accuracy at 99%. Voice analysis studies utilized both traditional machine learning methods and advanced deep learning techniques, achieving accuracies between 70% and 98% in detecting atypical speech patterns and prosodic abnormalities associated with autism. Text-based analyses showed potential in identifying linguistic markers of autism through natural language processing techniques. Overall, Deep learning approaches were mainly employed in facial image analysis for autism diagnosis. In contrast, voice and text recognition studies utilized machine learning algorithms. This review demonstrates artificial intelligence's significant role in diagnosing autism spectrum disorder (ASD). These AI-driven approaches can complement traditional diagnostic methods, potentially leading to earlier interventions and improved outcomes for individuals with ASD.","systematic review","Health Science Reports","2","10.1002/hsr2.71476","https://consensus.app/papers/artificial-intelligence-in-autism-spectrum-disorder-mohammadi-shahrokhi/aaab706ef07c5ac09be2b00d0ae39199/"
"Autism AI: a New Autism Screening System Based on Artificial Intelligence","The proposed autism screening system using deep learning algorithms, such as Convolutional Neural Networks (CNNs), provides higher accuracy, sensitivity, and specificity compared to conventional screening methods, improving efficiency and accessibility.","S. R. Shahamiri, F. Thabtah",2020,99,"Autistic spectrum disorder (ASD) is a neurodevelopment condition normally linked with substantial healthcare costs and time-consuming assessments where early detection of ASD traits can help limit the development of the condition. The existing conventional ASD screening methods contain a large number of items and are based on domain expert rules which may be criticized of being lengthy and subjective. More importantly, these methods use basic scoring functions to pinpoint to autistic traits rather intelligently learning patterns from cases and controls which can be more accurate and efficient. One promising solution to deal with the above issues and speed up ASD assessment referrals is to develop intelligent artificial intelligence screening methods that not only provide accurate pre-diagnostic classifications but also improve the efficiency and accessibility of the screening process. This paper proposes a new autism screening system that replaces the conventional scoring functions in classic screening methods with deep learning algorithms. The system is composed of a mobile application that provides the user interface capturing questionnaire data; an intelligent ASD detection web service that interfaces with a Convolutional Neural Network (CNN) trained with historical ASD cases; and a database that enables the CNN to learn new knowledge from future users of the system. The CNN classification method was evaluated against a large autism dataset consisting of adult, adolescent, child, and toddler cases and controls. The results obtained from the CNN were compared with other intelligent algorithms in which superior performance was achieved by the CNN. Particularly, the proposed CNN-based ASD classification system revealed higher accuracy, sensitivity, and specificity when compared with conventional screening methods. This indeed will be of high benefit for busy medical clinics and diagnosticians and could possibly be a new direction to change the way ASD diagnosis process is conducted in the future.","","Cognitive Computation","1","10.1007/s12559-020-09743-3","https://consensus.app/papers/autism-ai-a-new-autism-screening-system-based-on-artificial-shahamiri-thabtah/2c39beef3969558085fdf3d9e6ecdb50/"
