keeper_key,author_year,title,year,publication,doi,role,quality,topic,evidence_to_use,main_limitation,why_included
XSIL8EJU,Srisinghasongkram et al. (2016),Two-Step Screening of the Modified Checklist for Autism in Toddlers in Thai Children with Language Delay and Typically Developing Children,2016,Journal of Autism and Developmental Disorders,10.1007/s10803-016-2876-4,background_local,Strong,Thai M-CHAT two-step screening in language-delay and TD toddlers,"Thai two-step M-CHAT evidence; abstract reports high-risk language-delay children (N=109) and low-risk TD children (N=732), not N=292.",Tertiary-care/high-risk setting and follow-up design; not an AI/speech model.,Keeps Thai clinical screening context and shows why local validation matters.
7IKT7JCG,Tangviriyapaiboon et al. (2022),Development and psychometric evaluation of a Thai Diagnostic Autism Scale for the early diagnosis of Autism Spectrum Disorder,2022,Autism Research,10.1002/aur.2631,background_local,Strong,Thai Diagnostic Autism Scale psychometric validation,Thai cohort N=130. PDF reports sensitivity 100% and specificity 82.4% for TDAS against physician diagnosis.,Clinical scale administered by trained professionals; not automated speech/NLP.,Best Thai ASD diagnostic-scale anchor for the project.
8JSNYFWT,Tangviriyapaiboon et al. (2024),Economic Evaluation of the Thai Diagnostic Autism Scale for Autism Spectrum Disorder Diagnosis in Children Aged 1-5 Years Old,2024,Healthcare,10.3390/healthcare12070782,background_local,Moderate,Economic evaluation of TDAS in Thai children aged 1-5 years,Markov/cost-utility study showing TDAS-based screening can be economically favorable in Thai health-system assumptions.,"Model-based economic evidence, not model-performance evidence.","Supports Thai implementation rationale, not AI accuracy."
MNRUWLUM,Chaturavitwong (2023),Speech and Language in Children with Autism Spectrum Disorders,2023,Siriraj Medical Bulletin,,background_local,Moderate,"Speech and language profile in children with ASD, Thai clinical background",Thai clinical review/background on ASD speech-language difficulties and need for early speech-language support.,Narrative/background source; no AI model or validation metric.,Useful for SLP framing in Thai language.
H7DB7I5I,Ma et al. (2024),Can Natural Speech Prosody Distinguish Autism Spectrum Disorders? A Meta-Analysis,2024,Behavioral Sciences,10.3390/bs14020090,core,Strong,Natural speech prosody meta-analysis,"Meta-analysis of natural-speech prosody studies; supports pitch, prosody, and speech-rate markers as evidence class.",Heterogeneous feature extraction and tasks; meta-analysis does not validate this project directly.,Strongest synthesis for acoustic/prosody rationale.
KMH2LMXK,Rybner et al. (2022),Vocal markers of autism: Assessing the generalizability of machine learning models,2022,Autism Research,10.1002/aur.2721,core,Strong,Generalizability of vocal markers of autism,Shows performance can vary sharply across speech tasks/datasets; F1 ranges reported around 0.59-0.89 depending on generalization setting.,Generalizability stress-test rather than deployment validation.,Directly supports the project gap on external validation and task/corpus shift.
8QA33QFN,Chi et al. (2022),Classifying Autism From Crowdsourced Semistructured Speech Recordings: Machine Learning Model Comparison Study,2022,JMIR Pediatrics and Parenting,10.2196/35406,core,Moderate,Crowdsourced semi-structured speech recordings,Compares ML models on mobile/crowdsourced speech; CNN around 79% was reported as best among compared models in the previous audit.,"Noisy, short, app-recorded audio and limited control over recording conditions.",Relevant to real-world audio robustness.
CUXGPA4J,Mohanta et al. (2020),Acoustic Features Characterization of Autism Speech for Automated Detection and Classification,2020,National Conference on Communications,10.1109/NCC48643.2020.9056025,core,Moderate,Acoustic feature characterization for ASD detection,"Uses acoustic features and classical classifiers; PDF reports KNN achieving 96.5% accuracy, not Random Forest 88.5%.",Small controlled dataset; high accuracy likely not externally validated.,Useful as early acoustic-feature evidence but must be caveated.
AEDDAD3D,Radha et al. (2024),Detecting Autism Spectrum Disorder from Raw Speech in Children using STFT Layered CNN Model,2024,IEEE Conference Publication,,core,Weak,Raw child speech with STFT-layered CNN,Introduces CASD-SC child speech corpus; each child produced 36 recordings; log-spectrogram CNN reports about 86.6% accuracy.,"Conference paper, small/controlled corpus, no external clinical validation.",Supports raw-speech direction but not strong evidence.
JP7UJE9A,Yin et al. (2026),Machine Learning-Based Early Prediction Model for Autism Spectrum Disorder in Infants Using Acoustic Feature,2026,Autism Research,10.1002/aur.70179,core,Moderate,Infant acoustic-feature SVM prediction model,"Prospective cohort; PDF reports 88 infants, 28 later diagnosed with ASD. Best sigmoid-kernel SVM: sensitivity 92.86%, specificity 93.33%, accuracy 93.18%.",Single clinical context and infant vocalization task; not CNN/Random Forest and not N=124.,Corrected acoustic early-prediction evidence.
