collection,title,year,doi,url,tags,source
05_Multimodal_AI,Multi-modular AI Approach to Streamline Autism Diagnosis in Young Children,2020,10.1038/s41598-020-61213-w,https://consensus.app/papers/multimodular-ai-approach-to-streamline-autism-diagnosis-abbas-garberson/cf565ae5cf335d61b3817fe177285d1e/,ASD; behavior; clinical-validation; decision-support; machine-learning; multimodal; non-rct-observational-study; questionnaire; screening; video,Consensus seed CSV
03_Video_Behavior,Evaluation of an artificial intelligence-based medical device for diagnosis of autism spectrum disorder,2022,10.1038/s41746-022-00598-6,https://consensus.app/papers/evaluation-of-an-artificial-intelligencebased-medical-megerian-dey/015c26441402592897b93bc64e2a6af4/,ASD; behavior; clinical-validation; decision-support; machine-learning; non-rct-observational-study; questionnaire; video,Consensus seed CSV
07_Review_Papers,"AI-assisted early screening, diagnosis, and intervention for autism in young children",2025,10.3389/fpsyt.2025.1513809,https://consensus.app/papers/aiassisted-early-screening-diagnosis-and-intervention-zhang/8e3b78f893085b27a06d4c794af27c67/,ASD; behavior; decision-support; literature-review; machine-learning; review; screening,Consensus seed CSV
03_Video_Behavior,Autism Detection in Children: Integrating Machine Learning and Natural Language Processing in Narrative Analysis,2024,10.3390/bs14060459,https://consensus.app/papers/autism-detection-in-children-integrating-machine-themistocleous-andreou/359493e46c3b51e99deead962598f09d/,ASD; behavior; decision-support; language; machine-learning; screening,Consensus seed CSV
01_Speech_Audio,Reliably quantifying the severity of social symptoms in children with autism using ASDSpeech,2025,10.1038/s41398-025-03233-6,https://consensus.app/papers/reliably-quantifying-the-severity-of-social-symptoms-in-eni-zigel/990a576d1c3c53f8b136904cb9fd47c3/,ASD; audio; behavior; clinical-validation; decision-support; language; machine-learning; screening; speech,Consensus seed CSV
07_Review_Papers,Artificial intelligence for tracking social behaviours and supporting an autism spectrum disorder diagnosis: systematic review and meta-analysis,2025,10.1016/j.ebiom.2025.105931,https://consensus.app/papers/artificial-intelligence-for-tracking-social-behaviours-sun-mcewan/ee7f3b5c1a7d525f921d7ee11fe732bc/,ASD; behavior; clinical-validation; decision-support; machine-learning; meta-analysis; review; screening,Consensus seed CSV
07_Review_Papers,Using Machine Learning for Motion Analysis to Early Detect Autism Spectrum Disorder: A Systematic Review,2024,10.1007/s40489-024-00435-4,https://consensus.app/papers/using-machine-learning-for-motion-analysis-to-early-detect-simeoli-rega/0a04a747cb1f5ab49080f0232fad19e8/,ASD; behavior; clinical-validation; decision-support; literature-review; machine-learning; review; screening,Consensus seed CSV
07_Review_Papers,A Scoping Review of AI-Based Approaches for Detecting Autism Traits Using Voice and Behavioral Data,2025,10.3390/bioengineering12111136,https://consensus.app/papers/a-scoping-review-of-aibased-approaches-for-detecting-rakotomanana-rouhafzay/f35928b3ab5d558188049463a1b4108e/,ASD; audio; behavior; clinical-validation; decision-support; ethics; language; literature-review; machine-learning; multimodal; review; speech; video,Consensus seed CSV
07_Review_Papers,"Artificial Intelligence in Autism Spectrum Disorder Diagnosis: A Scoping Review of Face, Voice, and Text Analysis Methods",2025,10.1002/hsr2.71476,https://consensus.app/papers/artificial-intelligence-in-autism-spectrum-disorder-mohammadi-shahrokhi/aaab706ef07c5ac09be2b00d0ae39199/,ASD; audio; behavior; decision-support; language; machine-learning; questionnaire; review; speech; systematic-review; video,Consensus seed CSV
03_Video_Behavior,Autism AI: a New Autism Screening System Based on Artificial Intelligence,2020,10.1007/s12559-020-09743-3,https://consensus.app/papers/autism-ai-a-new-autism-screening-system-based-on-artificial-shahamiri-thabtah/2c39beef3969558085fdf3d9e6ecdb50/,ASD; clinical-validation; decision-support; machine-learning; questionnaire; screening; video,Consensus seed CSV
08_Maybe_Exclude_Check,An evaluation of machine learning approaches for early diagnosis of autism spectrum disorder,2023,10.1016/j.health.2023.100293,https://consensus.app/papers/an-evaluation-of-machine-learning-approaches-for-early-rasul-saha/20284b582f1853ae9530c9438ed01a1d/,ASD; decision-support; machine-learning,Consensus seed CSV
01_Speech_Audio,Detection of Autism Spectrum Disorder in Children Using Machine Learning Techniques,2021,10.1007/s42979-021-00776-5,https://consensus.app/papers/detection-of-autism-spectrum-disorder-in-children-using-vakadkar-purkayastha/0c4f0e999d035a7f94d15cfec173dacf/,ASD; behavior; clinical-validation; decision-support; language; machine-learning; screening; speech; video,Consensus seed CSV
03_Video_Behavior,Enhancing ASD detection accuracy: a combined approach of machine learning and deep learning models with natural language processing,2024,10.1007/s13755-024-00281-y,https://consensus.app/papers/enhancing-asd-detection-accuracy-a-combined-approach-of-rubio-mart%C3%ADn-garc%C3%ADa-ord%C3%A1s/ac929452055c500a874d87fe37f45e00/,ASD; behavior; decision-support; language; machine-learning; screening,Consensus seed CSV
07_Review_Papers,"Artificial intelligence-based approaches for improving the diagnosis, triage, and prioritization of autism spectrum disorder: a systematic review of current trends and open issues",2023,10.1007/s10462-023-10536-x,https://consensus.app/papers/artificial-intelligencebased-approaches-for-improving-joudar-albahri/cc7aaff5aa2f51a39643be9d3e2a6352/,ASD; clinical-validation; decision-support; ethics; machine-learning; review; systematic-review,Consensus seed CSV
07_Review_Papers,The Role of Artificial Intelligence for Early Diagnostic Tools of Autism Spectrum Disorder: A Systematic Review,2025,10.5152/turkarchpediatr.2025.24183,https://consensus.app/papers/the-role-of-artificial-intelligence-for-early-diagnostic-solek-nurfitri/ec5940220c0b5408a71034f5c05354da/,ASD; behavior; clinical-validation; decision-support; ethics; language; machine-learning; privacy; questionnaire; review; screening; systematic-review; video,Consensus seed CSV
03_Video_Behavior,Reliable Autism Spectrum Disorder Diagnosis for Pediatrics Using Machine Learning and Explainable AI,2024,10.3390/diagnostics14222504,https://consensus.app/papers/reliable-autism-spectrum-disorder-diagnosis-for-jeon-kim/102295485ec55e69b88ce0d509b25ac9/,ASD; behavior; clinical-validation; decision-support; ethics; machine-learning,Consensus seed CSV
07_Review_Papers,The Use of Artificial Intelligence in Screening and Diagnosis of Autism Spectrum Disorder: A Literature Review,2019,10.5765/jkacap.190027,https://consensus.app/papers/the-use-of-artificial-intelligence-in-screening-and-song-kim/393a5c903a4453cba3b886df6ace772d/,ASD; behavior; clinical-validation; decision-support; machine-learning; review; screening; systematic-review,Consensus seed CSV
03_Video_Behavior,Leveraging AI for the diagnosis and treatment of autism spectrum disorder: Current trends and future prospects.,2024,10.1016/j.ajp.2024.104241,https://consensus.app/papers/leveraging-ai-for-the-diagnosis-and-treatment-of-autism-wankhede-kale/ea4ef15ce7a15aeea87cd8d9618d6641/,ASD; behavior; decision-support; language; machine-learning; screening,Consensus seed CSV
03_Video_Behavior,The use of Artificial Intelligence for Intervention and Assessment in Individuals with ASD,2025,10.48550/arxiv.2505.02747,https://consensus.app/papers/the-use-of-artificial-intelligence-for-intervention-and-sideraki-anagnostopoulos/d76cd286671f5eb185555b42cb610535/,ASD; behavior; decision-support; ethics; language; machine-learning; screening; video,Consensus seed CSV
01_Speech_Audio,Role of Artificial Intelligence for Autism Diagnosis Using DTI and fMRI: A Survey,2023,10.3390/biomedicines11071858,https://consensus.app/papers/role-of-artificial-intelligence-for-autism-diagnosis-helmy-elnakib/b94052456c1c54918cafff6f482dc174/,ASD; behavior; decision-support; language; machine-learning; questionnaire; screening; speech,Consensus seed CSV
01_Speech_Audio,Clinical Practice Guidelines on using artificial intelligence and gadgets for mental health and well-being,2024,10.4103/indianjpsychiatry.indianjpsychiatry_926_23,https://doi.org/10.4103/indianjpsychiatry.indianjpsychiatry_926_23,ASD; Thai/local-context; audio; behavior; clinical-validation; decision-support; ethics; include; language; machine-learning; privacy; speech; video,Paper scout report
01_Speech_Audio,Artificial Intelligence in Mental Health Care,2023,10.4103/iopn.iopn_50_23,https://doi.org/10.4103/iopn.iopn_50_23,ASD; audio; behavior; clinical-validation; decision-support; ethics; include; language; machine-learning; speech; video,Paper scout report
05_Multimodal_AI,Editorial: Autism: the movement (sensing) perspective a decade later,2025,10.3389/fnint.2025.1634265,https://doi.org/10.3389/fnint.2025.1634265,ASD; audio; behavior; clinical-validation; decision-support; include; language; machine-learning; multimodal; questionnaire; video,Paper scout report
05_Multimodal_AI,AI-Enabled Technologies and Biomarker Analysis for the Early Identification of Autism and Related Neurodevelopmental Disorders,2025,10.3390/children12121670,https://doi.org/10.3390/children12121670,ASD; audio; behavior; clinical-validation; decision-support; ethics; include; machine-learning; multimodal; privacy; video,Paper scout report
