attribute,group,threshold,n,positives,predicted_positive,tpr,fpr,demographic_parity,tpr_difference,fpr_difference,demographic_parity_difference
sex,female,0.5,23,7,7,0.5714285714285714,0.1875,0.30434782608695654,0.3952380952380953,0.13871951219512196,0.6623188405797101
sex,male,0.5,69,28,24,0.7857142857142857,0.04878048780487805,0.34782608695652173,0.3952380952380953,0.13871951219512196,0.6623188405797101
sex,missing,0.5,30,30,29,0.9666666666666667,,0.9666666666666667,0.3952380952380953,0.13871951219512196,0.6623188405797101
age_band,48-71m,0.5,56,40,38,0.875,0.1875,0.6785714285714286,0.08552631578947367,0.975,0.5859564164648909
age_band,72m+,0.5,7,6,6,0.8333333333333334,1.0,0.8571428571428571,0.08552631578947367,0.975,0.5859564164648909
age_band,<48m,0.5,59,19,16,0.7894736842105263,0.025,0.2711864406779661,0.08552631578947367,0.975,0.5859564164648909
corpus,eigsti,0.5,48,16,13,0.5625,0.125,0.2708333333333333,0.4375,0.08499999999999999,0.7291666666666667
corpus,flusberg,0.5,6,6,6,1.0,,1.0,0.4375,0.08499999999999999,0.7291666666666667
corpus,nadig,0.5,38,13,12,0.8461538461538461,0.04,0.3157894736842105,0.4375,0.08499999999999999,0.7291666666666667
corpus,nyu_emerson,0.5,30,30,29,0.9666666666666667,,0.9666666666666667,0.4375,0.08499999999999999,0.7291666666666667
