attribute,group,threshold,n,positives,predicted_positive,tpr,fpr,demographic_parity,tpr_difference,fpr_difference,demographic_parity_difference,negatives,reliability_status,reliability_note
sex,female,0.5,23,7,7,0.5714285714285714,0.1875,0.30434782608695654,0.3952380952380953,0.11432926829268293,0.6623188405797101,16,reviewable,Subgroup size is sufficient for a descriptive audit row.
sex,male,0.5,69,28,25,0.7857142857142857,0.07317073170731707,0.36231884057971014,0.3952380952380953,0.11432926829268293,0.6623188405797101,41,reviewable,Subgroup size is sufficient for a descriptive audit row.
sex,missing,0.5,30,30,29,0.9666666666666667,,0.9666666666666667,0.3952380952380953,0.11432926829268293,0.6623188405797101,0,insufficient_n,Interpret cautiously: subgroup n<20 or class count<5.
age_band,48-71m,0.5,56,40,38,0.875,0.1875,0.6785714285714286,0.08552631578947367,0.95,0.5690072639225181,16,reviewable,Subgroup size is sufficient for a descriptive audit row.
age_band,72m+,0.5,7,6,6,0.8333333333333334,1.0,0.8571428571428571,0.08552631578947367,0.95,0.5690072639225181,1,insufficient_n,Interpret cautiously: subgroup n<20 or class count<5.
age_band,<48m,0.5,59,19,17,0.7894736842105263,0.05,0.288135593220339,0.08552631578947367,0.95,0.5690072639225181,40,reviewable,Subgroup size is sufficient for a descriptive audit row.
corpus,eigsti,0.5,48,16,14,0.5625,0.15625,0.2916666666666667,0.4375,0.11624999999999999,0.7083333333333333,32,reviewable,Subgroup size is sufficient for a descriptive audit row.
corpus,flusberg,0.5,6,6,6,1.0,,1.0,0.4375,0.11624999999999999,0.7083333333333333,0,insufficient_n,Interpret cautiously: subgroup n<20 or class count<5.
corpus,nadig,0.5,38,13,12,0.8461538461538461,0.04,0.3157894736842105,0.4375,0.11624999999999999,0.7083333333333333,25,reviewable,Subgroup size is sufficient for a descriptive audit row.
corpus,nyu_emerson,0.5,30,30,29,0.9666666666666667,,0.9666666666666667,0.4375,0.11624999999999999,0.7083333333333333,0,insufficient_n,Interpret cautiously: subgroup n<20 or class count<5.
