accuracy,f1_macro,roc_auc,pr_auc,sensitivity,specificity,ppv,npv,brier_score,threshold,tp,fp,tn,fn,uncertain_count,uncertain_rate
0.6639,0.6054,0.9312,0.9498,0.9846,0.2982,0.6154,0.9444,0.0983,0.05,64,40,17,1,8,0.0656
0.7049,0.6732,0.9312,0.9498,0.9538,0.4211,0.6526,0.8889,0.0983,0.1,62,33,24,3,8,0.0656
0.7459,0.7284,0.9312,0.9498,0.9385,0.5263,0.6932,0.8824,0.0983,0.15,61,27,30,4,8,0.0656
0.7951,0.7875,0.9312,0.9498,0.9231,0.6491,0.75,0.881,0.0983,0.2,60,20,37,5,8,0.0656
0.8361,0.8324,0.9312,0.9498,0.9231,0.7368,0.8,0.8936,0.0983,0.25,60,15,42,5,8,0.0656
0.8361,0.8332,0.9312,0.9498,0.9077,0.7544,0.8082,0.8776,0.0983,0.3,59,14,43,6,8,0.0656
0.8361,0.8345,0.9312,0.9498,0.8769,0.7895,0.8261,0.8491,0.0983,0.35,57,12,45,8,8,0.0656
0.8525,0.8521,0.9312,0.9498,0.8462,0.8596,0.873,0.8305,0.0983,0.4,55,8,49,10,8,0.0656
0.8689,0.8687,0.9312,0.9498,0.8462,0.8947,0.9016,0.8361,0.0983,0.45,55,6,51,10,8,0.0656
0.877,0.877,0.9312,0.9498,0.8462,0.9123,0.9167,0.8387,0.0983,0.5,55,5,52,10,8,0.0656
0.877,0.877,0.9312,0.9498,0.8308,0.9298,0.931,0.8281,0.0983,0.55,54,4,53,11,8,0.0656
0.8689,0.8688,0.9312,0.9498,0.8,0.9474,0.9455,0.806,0.0983,0.6,52,3,54,13,8,0.0656
0.8689,0.8687,0.9312,0.9498,0.7846,0.9649,0.9623,0.7971,0.0983,0.65,51,2,55,14,8,0.0656
0.8607,0.8604,0.9312,0.9498,0.7692,0.9649,0.9615,0.7857,0.0983,0.7,50,2,55,15,8,0.0656
0.8607,0.8604,0.9312,0.9498,0.7692,0.9649,0.9615,0.7857,0.0983,0.75,50,2,55,15,8,0.0656
0.8525,0.8521,0.9312,0.9498,0.7538,0.9649,0.9608,0.7746,0.0983,0.8,49,2,55,16,8,0.0656
0.8197,0.8179,0.9312,0.9498,0.6769,0.9825,0.9778,0.7273,0.0983,0.85,44,1,56,21,8,0.0656
0.7787,0.7743,0.9312,0.9498,0.6,0.9825,0.975,0.6829,0.0983,0.9,39,1,56,26,8,0.0656
0.7377,0.7271,0.9312,0.9498,0.5077,1.0,1.0,0.6404,0.0983,0.95,33,0,57,32,8,0.0656
